student_index,kmeans_cluster,agglomerative_cluster,Performance
153,0,0,Low
154,1,1,Medium
155,1,1,Low
156,0,0,Medium
157,0,0,Medium
158,0,0,High
159,1,1,Medium
160,0,0,Low
161,0,0,Low
162,0,0,Low
163,0,0,Medium
164,0,0,Low
165,0,0,Medium
166,0,0,Medium
167,1,1,High
168,0,0,Low
169,1,1,Medium
170,1,0,Low
171,0,0,High
172,1,1,Medium
173,0,0,Low
174,1,1,Low
175,1,1,Low
176,0,0,Medium
177,1,1,Low
178,1,1,Low
179,1,1,Medium
180,1,1,Low
181,1,1,Medium
182,1,1,High
183,1,1,Low
184,1,1,Medium
185,1,1,Medium
186,0,0,Medium
187,0,0,High
188,1,1,Low
189,0,0,Medium
190,1,0,Medium
191,0,0,Low
192,0,0,Low
193,1,1,Medium
194,1,0,Medium
195,1,1,High
196,1,1,High
197,1,1,Medium
198,1,1,High
199,1,1,Medium
200,1,1,High
201,1,0,Medium
202,0,0,Medium
203,0,0,Low
204,0,1,Medium
205,1,1,Low
206,0,0,Low
207,1,1,Medium
208,0,0,Medium
209,1,1,Low
210,1,1,Low
211,1,1,Medium
212,0,0,Medium
213,0,0,Low
214,1,1,Medium
215,0,0,High
216,1,1,Low
217,1,1,Low
218,0,0,Low
219,0,0,Medium
220,0,0,Low
221,0,0,Low
222,1,0,High
223,0,0,Medium
224,1,1,Medium
225,0,0,Low
226,0,0,High
227,0,0,Medium
228,0,0,Low
229,0,0,Medium
230,1,1,Medium
231,0,0,Medium
232,1,1,Low
233,1,1,Medium
234,0,0,Low
235,1,1,Medium
236,0,0,Medium
237,0,0,Medium
238,0,0,Medium
239,0,0,Low
240,1,1,Medium
241,1,1,Medium
242,1,1,Low
243,1,1,Medium
244,0,0,Low
245,0,0,High
246,0,0,Medium
247,0,0,Low
248,0,1,Low
249,0,0,High
250,0,0,Low
251,1,0,Medium
252,0,0,Low
253,0,0,Low
254,0,0,Medium
255,0,0,Low
256,1,1,Medium
257,1,1,Medium
258,0,0,Medium
259,0,0,Low
260,1,1,High
261,1,1,Low
262,0,1,Medium
263,1,1,Low
264,0,0,Low
265,1,1,High
266,0,0,Medium
267,1,1,Medium
268,1,1,Medium
269,0,0,Low
270,0,1,Low
271,0,0,Medium
272,0,0,Medium
273,0,0,Medium
274,1,0,Medium
275,0,0,Medium
276,0,1,Low
277,1,1,Low
278,1,1,Low
279,1,1,Medium
280,0,0,Low
281,0,1,Medium
282,0,0,Medium
283,0,0,Medium
284,0,0,Medium
285,0,0,Medium
286,0,0,High
287,0,0,Medium
288,0,0,Medium
289,1,1,High
290,1,1,Medium
291,1,1,High
292,0,0,Medium
293,0,0,High
294,0,1,Medium
295,1,1,Medium
296,1,1,Low
297,1,1,Low
298,1,1,Medium
299,1,1,High
300,1,1,Medium
301,1,1,Medium
302,1,1,Medium
303,0,1,High
304,0,1,Medium
305,0,1,Medium
306,0,0,High
307,1,1,Low
308,0,0,Medium
309,0,0,Medium
310,0,0,Low
311,0,0,Medium
312,0,0,Medium
313,0,1,Medium
314,0,0,Medium
315,0,1,Medium
316,0,0,Low
317,1,1,Low
318,1,1,Medium
319,1,1,Medium
320,1,1,Medium
321,0,0,Low
322,0,0,Medium
323,0,1,High
324,0,0,High
325,1,1,Medium
326,1,1,High
327,0,0,Medium
328,1,1,Low
329,1,1,Medium
330,0,0,Low
331,1,1,Medium
332,1,1,Low
333,0,0,Low
334,0,0,Low
335,1,1,High
336,0,0,Medium
337,0,0,Low
338,1,1,High
339,0,0,Medium
340,0,0,Medium
341,1,1,Low
342,1,1,High
343,0,0,Low
344,0,0,Medium
345,0,1,Medium
346,1,1,High
347,1,1,Low
348,1,1,High
349,0,1,Medium
350,0,0,Low
351,1,1,Medium
352,0,0,Low
353,0,0,Low
354,1,1,Medium
355,1,1,Low
356,1,1,Medium
357,0,0,Medium
358,0,0,Medium
359,0,0,High
360,0,0,Medium
361,0,0,Medium
362,1,1,Medium
363,1,1,High
364,0,0,Medium
365,0,0,Medium
366,1,1,Medium
367,0,0,Low
368,0,0,Medium
369,1,1,Medium
370,0,0,Low
371,0,0,Medium
372,0,0,Medium
373,0,0,Low
374,1,1,High
375,0,0,Medium
376,0,0,High
377,1,1,Medium
378,1,1,High
379,0,0,Medium
380,1,1,Medium
381,0,0,Low
382,0,0,Medium
383,0,0,Low
384,0,1,Low
385,0,0,Medium
386,1,1,Low
387,0,0,Low
388,0,0,Low
389,0,0,Low
390,0,0,Low
391,0,1,High
392,0,0,Low
393,0,0,Medium
394,0,0,Low
